,created_at,id,text
94,Mon May 03 23:58:18 +0000 2021,1389368754178609153,"Star Wars Battlefront II price just Dropped Big TIME!

►https://t.co/GZlsmLVmW8

#starwars #mandalorian https://t.co/0G3cI0VQ5s"
95,Mon May 03 23:58:17 +0000 2021,1389368749535514625,"RT @URDailyHistory: 3 May 1915: Canadian Lieutenant #Colonel, MD John #McCrae writes the poem ""In Flanders Fields"". He wrote the #poem in t…"
96,Mon May 03 23:58:16 +0000 2021,1389368743822864387,あなたが持っていない価値観をたくさん持っている人を人間は嫌いな人と呼ぶ。 #悪魔とのおしゃべり #さとうみつろう  https://t.co/tMXC3myUFD
97,Mon May 03 23:58:15 +0000 2021,1389368739049652226,"2 pack of LED RGB Flood Lights, $22.49!

*Coupon PLUS Save 30% with promo code 30TKHBLS 

https://t.co/N6Z0cSzgwJ https://t.co/yInpb1iiqH"
98,Mon May 03 23:58:15 +0000 2021,1389368738261069826,"RT @kosakanatops: 🐟先行カット第二弾解禁🐟
お待たせしました！　
#小坂菜緒1st写真集  から歯磨きカットの解禁です🪥
朝、お出かけの準備をする彼女のふとした瞬間を切りとりました！　
写真集でも #こさかなとおうちデート カットがたくさんありますよ🐱💕

#…"
99,Mon May 03 23:58:13 +0000 2021,1389368731512541184,"What makes a place, ""Haunted""?
Award winning book by Kitty Janusz 
Now on Amazon &amp; Kindle
https://t.co/okPuCHFlyP https://t.co/zucvgtMiB7"
100,Sun May 02 07:59:00 +0000 2021,1388764950466863104,"""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life:… https://t.co/99jv4iH4NS"
101,Sun May 02 22:11:00 +0000 2021,1388979360024055812,POWER A Enhanced Wireless Controller for Nintendo Switch - Waluigi is up for preorder on Amazon ($49.99)… https://t.co/0zchqfK9ek
102,Sun May 02 14:21:00 +0000 2021,1388861081616068611,"Select 1st party Switch $39.99 physical/digital sale:
Amazon https://t.co/K4ErQUfYhK
GameStop… https://t.co/2VPfSEyqzv"
103,Sun May 02 23:59:59 +0000 2021,1389006786330603523,"RT @AmazonMusicUK: ""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life: Young…"
104,Sun May 02 23:59:58 +0000 2021,1389006785156026368,"RT @kinpri_castle: ✅ King &amp; Prince 新CM商品

🎮予約受付中
『ミートピア』
▼Amazon
https://t.co/SbE6d6ZmcT
▼楽天
https://t.co/04vBFwFQmL
▼7net
https://t.co/aJ9…"
105,Sun May 02 23:59:58 +0000 2021,1389006784111673345,"RT @kosakanatops: ＼#小坂菜緒1st写真集 発売まで、あと57日！／
いちごさかな🍓

#菜緒が全部食べるんです
#こさかな毎日カウントダウン 
#小坂菜緒
#日向坂46 

https://t.co/LdvMxacppB https://t.co/tDbuY…"
