,created_at,id,text,language
85,Sat May 01 23:59:46 +0000 2021,1.3886443441402716e+18,"RT @FatKidDeals: 18"" Ring Light Bundle for $53.99!!

Save 46% with promo code 46RFDK421

https://t.co/ynfkE2a0di   

Seller MUST be MoonLak…",en
86,Sat May 01 23:59:43 +0000 2021,1.388644334191485e+18,@bandboidretoven Thank you for clarifying! Please try these troubleshooting steps and let us know if the issue cont… https://t.co/TGi6ok7sM3,en
87,Sat May 01 23:59:41 +0000 2021,1.3886443245821706e+18,"RT @meggh2020: #FREEreadKU
""Was having stressful day but this book is guaranteed to leave you chilled with a smile on your face"" Review
AFT…",en
88,Sat May 01 23:59:40 +0000 2021,1.3886443226570465e+18,"@IsabelaKnightly Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Wit… https://t.co/y7C4Hd8W1J",en
89,Sat May 01 23:59:34 +0000 2021,1.3886442966984376e+18,"【NAT-TEST 4 Official Text-book】
『日本語NAT-TEST 4級 公式問題集』
https://t.co/5VRFEwAf1Y",en
90,Sat May 01 23:59:26 +0000 2021,1.3886442631187948e+18,"RT @meggh2020: #FREEreadKU
""A very well written, entertaining story, I have not laughed so much in a long time"" (Review)
AFTER THE CALENDAR…",en
91,Sat May 01 23:59:26 +0000 2021,1.3886442600529306e+18,NOW in Audio! How to Survive a 203K Mortgage written by @Annie_Acorn and narrated by Rebecca Ortiz @radiobecChicago… https://t.co/uUxbsA5dy5,en
92,Sat May 01 23:59:25 +0000 2021,1.388644259453096e+18,"*SALE*
Just A Regular Mom Trying Not To Raise Republicans T-Shirt
BUY HERE👉https://t.co/SBp2jhmDd1
#TruthMatters https://t.co/nC9qXLKsYA",en
93,Sat May 01 23:59:23 +0000 2021,1.3886442483004375e+18,I wasn't involved in writing 'Raging Storm' It's my wife's book and awesome https://t.co/KU9Q5dD9fL,en
94,Sat May 01 23:59:22 +0000 2021,1.3886442466729984e+18,"#MagicTouch 💓 #BeatingHearts 
#シューイチ 最高やったねー🥺💓

#kingandprince 
#岸優太 #神宮寺勇太 
#髙橋海斗 #平野紫耀 
#永瀬廉 King &amp; Prince

Amazo… https://t.co/Wmv7uIH0oP",en
95,Sat May 01 23:59:22 +0000 2021,1.3886442446052598e+18,“Some people set the bar so low you can trip over it.” ~ Frank Sonnenberg https://t.co/h3J2B9gd7O #BookSmart,en
96,Sat May 01 23:59:20 +0000 2021,1.3886442361537372e+18,"@ritarubin9 Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
97,Sat May 01 23:59:14 +0000 2021,1.388644212787368e+18,"@FBlogpreneur Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
98,Sat May 01 23:59:13 +0000 2021,1.3886442074856202e+18,"RT @DiscussingFilm: Pre-order the latest wave of #AvatarTheLastAirbender Pop Vinyls for your collection!

Suki: https://t.co/vOCOR6vTGE

Ty…",en
99,Sat May 01 23:59:12 +0000 2021,1.3886442047929098e+18,"RT @amazonmusic: .@ThomasRhett is back with his latest album, ""Country Again Side A"". A representation of a life lived in recent years. 🤠…",en
100,Sat May 01 23:59:10 +0000 2021,1.3886441934012498e+18,Social Distancing - Self-Isolated  - Stressed ??? Learn how to relax with this book …Stress is harmful to your Heal… https://t.co/77PSxRjNWc,en
101,Sat May 01 23:59:07 +0000 2021,1.3886441834607534e+18,Now Playing! I'm Every Woman by #ChakaKhan Listen Live at https://t.co/KgDuz5xICO Buy this song here :… https://t.co/3FnsxTnnz5,en
102,Sat May 01 23:59:02 +0000 2021,1.3886441603207741e+18,"@mymindoesntstop Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Wit… https://t.co/FEDZsJ4KR1",en
103,Sat May 01 23:59:00 +0000 2021,1.3886441531526513e+18,"18"" Ring Light Bundle for $53.99!!

Save 46% with promo code 46RFDK421

https://t.co/ynfkE2a0di   

Seller MUST be… https://t.co/QKmA9baOcN",en
104,Sat May 01 23:58:54 +0000 2021,1.3886441292199526e+18,Need to escape from a CoVid world? Try A Second Kiss for Christmas https://t.co/Eugipxlmu3 by our @Annie_Acorn – st… https://t.co/GwkkhX1Ibj,en
